name,completename,comment
"F010 - Professores","IFF CAMPUS_SVS > DE > F - CIET > F010 - Professores",NULL
"F011 - Professores","IFF CAMPUS_SVS > DE > F - CIET > F011 - Professores",NULL
"F012 - Professores","IFF CAMPUS_SVS > DE > F - CIET > F012 - Professores",NULL
"F013 - Professores","IFF CAMPUS_SVS > DE > F - CIET > F013 - Professores",NULL
"F014 - Lab A (Lab 02)","IFF CAMPUS_SVS > DE > F - CIET > F014 - Lab A (Lab 02)",NULL
"F015 - Lab B (Lab03)","IFF CAMPUS_SVS > DE > F - CIET > F015 - Lab B (Lab03)",NULL
"F016 - Lab. Eletronica e Robotica","IFF CAMPUS_SVS > DE > F - CIET > F016 - Lab. Eletronica e Robotica",NULL
"F017 - Lab C (Lab06)","IFF CAMPUS_SVS > DE > F - CIET > F017 - Lab C (Lab06)",NULL
"F018 - LabGeo","IFF CAMPUS_SVS > DE > F - CIET > F018 - LabGeo",NULL
"F019 - Lab Redes","IFF CAMPUS_SVS > DE > F - CIET > F019 - Lab Redes",NULL
"F020 - Lab Redes","IFF CAMPUS_SVS > DE > F - CIET > F020 - Lab Redes",NULL
"F021 - Oficina/Centro TI","IFF CAMPUS_SVS > DE > F - CIET > F021 - Oficina/Centro TI",NULL
"F022 - DATACENTER CIET","IFF CAMPUS_SVS > DE > F - CIET > F022 - DATACENTER CIET",NULL
"F023 - Lab D (Lab04)","IFF CAMPUS_SVS > DE > F - CIET > F023 - Lab D (Lab04)",NULL
"F024 - Lab E (Lab05)","IFF CAMPUS_SVS > DE > F - CIET > F024 - Lab E (Lab05)",NULL
"F025 - Lab Hardware","IFF CAMPUS_SVS > DE > F - CIET > F025 - Lab Hardware",NULL
"F026 - Auditório","IFF CAMPUS_SVS > DE > F - CIET > F026 - Auditório",NULL
"F027 - Mini Auditório","IFF CAMPUS_SVS > DE > F - CIET > F027 - Mini Auditório",NULL
"F028 - Sala de Aula","IFF CAMPUS_SVS > DE > F - CIET > F028 - Sala de Aula",NULL
"F029 - Sala de Projetos","IFF CAMPUS_SVS > DE > F - CIET > F029 - Sala de Projetos",NULL
"F030 - Depósito","IFF CAMPUS_SVS > DE > F - CIET > F030 - Depósito",NULL
"F031 - Sala de Dança","IFF CAMPUS_SVS > DE > F - CIET > F031 - Sala de Dança",NULL
"Fazenda Escola","IFF CAMPUS_SVS > DPEP > Fazenda Escola",
"G1 - Ginásio Poliesportivo","IFF CAMPUS_SVS > DE > G1 - Ginásio Poliesportivo",GINÁSIO
"G1-001 - Bar","IFF CAMPUS_SVS > DE > G1 - Ginásio Poliesportivo > G1-001 - Bar",
"G1-002 - Sala de Professores","IFF CAMPUS_SVS > DE > G1 - Ginásio Poliesportivo > G1-002 - Sala de Professores",NULL
"G1-003 - Depósito B","IFF CAMPUS_SVS > DE > G1 - Ginásio Poliesportivo > G1-003 - Depósito B",
"G1-004 - Vestuário B","IFF CAMPUS_SVS > DE > G1 - Ginásio Poliesportivo > G1-004 - Vestuário B",
"G1-005 - Vestuário A","IFF CAMPUS_SVS > DE > G1 - Ginásio Poliesportivo > G1-005 - Vestuário A",
"G1-006 - Depósito A","IFF CAMPUS_SVS > DE > G1 - Ginásio Poliesportivo > G1-006 - Depósito A",
"G2 - Centro de Convivência","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência","Centro de Convivência"
"G2-001 - Sala Convivência","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência > G2-001 - Sala Convivência",
"G2-002 - Vestiário Fem","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência > G2-002 - Vestiário Fem",
"G2-003 - Vestiário Masc","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência > G2-003 - Vestiário Masc",
"G2-004 - Vestuário Acess","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência > G2-004 - Vestuário Acess",
"G2-005 - Sala de Apoio","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência > G2-005 - Sala de Apoio",NULL
"G2-006 - Grêmio Estudantil","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência > G2-006 - Grêmio Estudantil",
"G2-007 - Dir A","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência > G2-007 - Dir A",
"G2-008 - Dir B","IFF CAMPUS_SVS > DE > G2 - Centro de Convivência > G2-008 - Dir B",
